  -    ; 1.200 ; 2.800 ; 3.500 ; 7.200 ; 4.400 ; 4.500 ; 7.900 ; 3.400 ; 4.000 ; 4.200 ; 3.600 ; 2.700 ; 6.900 ; 6.300 ; 3.400 ; 11.300 ; 4.300 ; 3.700 ; 3.400 ; 3.900 ; 4.000 ; 3.200 ; 3.900 ; 3.700 ; 4.100 ; 8.800 ; 1.800 ; 3.300 ; 2.900 ; 2.800 ; 6.600 ; 5.200 ; 4.200 ; 4.200 ; 6.400 ; 1.900 ; 5.800 ; 7.900 ; 7.100 
 1.200 ;  -    ; 1.600 ; 2.900 ; 6.600 ; 4.200 ; 3.900 ; 7.300 ; 2.400 ; 3.000 ; 3.800 ; 3.200 ; 1.700 ; 3.500 ; 5.900 ; 2.500 ; 11.000 ; 3.800 ; 3.200 ; 2.400 ; 2.700 ; 3.600 ; 2.200 ; 3.400 ; 3.300 ; 3.000 ; 8.200 ; 650 ; 2.200 ; 1.700 ; 1.600 ; 5.900 ; 4.000 ; 3.700 ; 3.700 ; 5.900 ; 700 ; 5.200 ; 7.700 ; 6.900 
 2.800 ; 1.600 ;  -    ; 4.500 ; 8.300 ; 5.500 ; 5.500 ; 11.000 ; 4.100 ; 4.300 ; 5.300 ; 4.700 ; 2.000 ; 7.900 ; 7.400 ; 2.900 ; 12.300 ; 4.700 ; 4.200 ; 3.000 ; 3.800 ; 5.000 ; 2.900 ; 4.200 ; 4.100 ; 1.300 ; 9.500 ; 1.000 ; 300 ; 400 ; 280 ; 7.200 ; 5.200 ; 4.700 ; 4.700 ; 7.200 ; 950 ; 6.500 ; 9.000 ; 8.100 
 3.500 ; 2.900 ; 4.500 ;  -    ; 3.900 ; 1.300 ; 1.200 ; 4.600 ; 1.700 ; 1.100 ; 900 ; 750 ; 3.200 ; 4.000 ; 3.400 ; 1.700 ; 4.800 ; 1.000 ; 700 ; 1.700 ; 2.000 ; 1.600 ; 2.000 ; 750 ; 600 ; 4.100 ; 5.500 ; 3.600 ; 5.100 ; 4.700 ; 4.600 ; 3.100 ; 1.300 ; 700 ; 700 ; 3.100 ; 3.700 ; 2.500 ; 4.600 ; 3.800 
 7.200 ; 6.600 ; 8.300 ; 3.900 ;  -    ; 3.400 ; 3.500 ; 3.100 ; 4.500 ; 3.900 ; 3.600 ; 4.500 ; 5.900 ; 4.500 ; 4.700 ; 4.400 ; 3.300 ; 3.200 ; 4.600 ; 4.400 ; 4.000 ; 3.800 ; 4.800 ; 3.800 ; 4.000 ; 7.000 ; 2.100 ; 6.700 ; 8.200 ; 7.800 ; 7.700 ; 1.200 ; 3.400 ; 4.000 ; 4.000 ; 1.400 ; 6.800 ; 1.900 ; 3.200 ; 2.300 
 4.400 ; 4.200 ; 5.500 ; 1.300 ; 3.400 ;  -    ; 130 ; 3.600 ; 3.000 ; 2.400 ; 900 ; 1.200 ; 4.500 ; 2.400 ; 1.900 ; 3.000 ; 3.600 ; 2.200 ; 2.200 ; 3.000 ; 2.500 ; 2.400 ; 3.200 ; 2.300 ; 2.300 ; 5.100 ; 4.100 ; 4.400 ; 5.900 ; 5.500 ; 5.400 ; 2.400 ; 2.000 ; 1.400 ; 1.400 ; 2.200 ; 4.900 ; 1.500 ; 3.700 ; 2.800 
 4.500 ; 3.900 ; 5.500 ; 1.200 ; 3.500 ; 130 ;  -    ; 3.600 ; 2.400 ; 1.800 ; 300 ; 1.100 ; 3.900 ; 2.800 ; 2.200 ; 2.300 ; 4.100 ; 1.500 ; 1.500 ; 2.400 ; 2.000 ; 1.700 ; 2.700 ; 1.700 ; 1.700 ; 5.000 ; 4.700 ; 4.500 ; 6.000 ; 5.600 ; 5.400 ; 2.300 ; 1.800 ; 1.200 ; 1.200 ; 2.100 ; 4.600 ; 1.600 ; 3.600 ; 2.600 
 7.900 ; 7.300 ; 11.000 ; 4.600 ; 3.100 ; 3.600 ; 3.600 ;  -    ; 4.800 ; 4.200 ; 3.300 ; 4.200 ; 6.300 ; 2.800 ; 3.200 ; 4.800 ; 800 ; 3.700 ; 4.200 ; 4.800 ; 4.300 ; 4.100 ; 5.100 ; 4.100 ; 4.200 ; 8.000 ; 1.700 ; 7.500 ; 9.000 ; 8.100 ; 8.000 ; 3.100 ; 3.900 ; 3.700 ; 3.700 ; 2.300 ; 7.100 ; 1.600 ; 600 ; 300 
 3.400 ; 2.400 ; 4.100 ; 1.700 ; 4.500 ; 3.000 ; 2.400 ; 4.800 ;  -    ; 650 ; 2.100 ; 2.200 ; 1.400 ; 4.900 ; 4.800 ; 73 ; 5.600 ; 1.400 ; 1.000 ; 55 ; 600 ; 1.200 ; 230 ; 900 ; 950 ; 2.600 ; 8.000 ; 2.200 ; 3.700 ; 3.300 ; 3.200 ; 5.400 ; 3.400 ; 4.000 ; 4.000 ; 5.500 ; 2.300 ; 5.100 ; 7.200 ; 6.300 
 4.000 ; 3.000 ; 4.300 ; 1.100 ; 3.900 ; 2.400 ; 1.800 ; 4.200 ; 650 ;  -    ; 1.500 ; 1.400 ; 2.100 ; 4.300 ; 4.200 ; 600 ; 5.000 ; 800 ; 700 ; 600 ; 100 ; 650 ; 900 ; 1.300 ; 1.350 ; 3.200 ; 5.800 ; 2.900 ; 4.400 ; 4.000 ; 3.800 ; 3.200 ; 1.300 ; 1.000 ; 1.000 ; 3.100 ; 2.900 ; 2.900 ; 4.800 ; 4.000 
 4.200 ; 3.800 ; 5.300 ; 900 ; 3.600 ; 900 ; 300 ; 3.300 ; 2.100 ; 1.500 ;  -    ; 950 ; 3.600 ; 3.100 ; 2.800 ; 2.100 ; 4.000 ; 1.200 ; 1.100 ; 2.000 ; 1.500 ; 1.400 ; 2.400 ; 1.400 ; 1.450 ; 4.600 ; 4.600 ; 4.300 ; 5.900 ; 5.300 ; 5.200 ; 2.500 ; 1.500 ; 950 ; 950 ; 2.300 ; 4.300 ; 1.600 ; 3.800 ; 4.000 
 3.600 ; 3.200 ; 4.700 ; 750 ; 4.500 ; 1.200 ; 1.100 ; 4.200 ; 2.200 ; 1.400 ; 950 ;  -    ; 3.600 ; 3.300 ; 2.900 ; 2.100 ; 5.000 ; 1.100 ; 1.000 ; 1.800 ; 1.400 ; 1.400 ; 2.100 ; 1.500 ; 1.300 ; 5.700 ; 5.400 ; 3.600 ; 5.100 ; 4.700 ; 1.300 ; 3.100 ; 1.400 ; 850 ; 850 ; 3.100 ; 3.700 ; 2.400 ; 4.600 ; 4.700 
